Key 	A03.003_Az_T00130.txt_000001_to_1064.txt 	A01.003_Dan_T00030.txt_000001_to_450.txt 	A01.003_Dan_T00030.txt_000451_to_900.txt 	A01.003_Dan_T00030.txt_000901_to_1350.txt 	A01.003_Dan_T00030.txt_001351_to_1800.txt 	A01.003_Dan_T00030.txt_001801_to_2250.txt 	A01.003_Dan_T00030.txt_002251_to_2700.txt 	A01.003_Dan_T00030.txt_002701_to_3150.txt 	A01.003_Dan_T00030.txt_003151_to_3600.txt 	A01.003_Dan_T00030.txt_003601_to_4050.txt 	A01.003_Dan_T00030.txt_004051_to_4472.txt 
caldea	1	1	1	0	0	0	1	0	1	1	1
&aelig;t	0	3	0	0	0	0	0	1	1	0	2
fyr	3	0	0	0	2	2	0	0	0	0	0
&aelig;lmihtig	1	0	0	0	0	1	2	3	0	0	0
&thorn;eoden	1	1	1	0	1	1	1	1	0	0	0
wite	0	0	1	0	1	0	0	2	0	2	1
ofne	1	0	0	0	3	1	1	1	0	0	0
&thorn;y	0	1	1	0	1	0	0	2	0	1	1
under	0	2	0	0	2	1	0	0	0	1	1
hyssas	0	0	0	2	2	0	2	1	0	0	0
cyn	0	5	0	0	0	0	0	0	0	0	1
georne	2	0	0	1	1	0	1	0	0	0	1
leoda	0	1	1	0	0	0	2	1	0	1	0
hean	0	2	0	2	1	0	0	0	0	1	0
nabochodonossor	0	2	0	0	0	0	1	1	0	2	0
h&aelig;fdon	1	2	0	0	0	0	1	1	0	0	1
herige	0	1	0	2	0	2	0	0	0	0	1
hu	0	1	3	0	0	0	0	2	0	0	0
cwom	2	0	1	1	0	1	0	0	0	1	0
ge	0	0	5	0	0	0	0	0	0	0	1
&thorn;eode	0	0	0	2	0	0	2	0	1	1	0
lifgende	3	0	0	0	1	0	0	0	1	0	1
sinum	1	0	3	0	0	0	1	0	0	1	0
halgan	2	0	0	0	3	0	0	0	1	0	0
swefnes	0	0	4	0	0	0	0	1	1	0	0
drihtne	0	1	1	1	0	0	1	0	1	0	1
gast	0	0	0	0	1	0	1	1	0	3	0
egesan	0	0	1	0	0	0	0	1	2	0	2
frean	3	0	1	0	0	1	0	0	0	1	0
w&aelig;ter	5	0	0	0	0	1	0	0	0	0	0
hergen	6	0	0	0	0	0	0	0	0	0	0
halgum	1	0	0	0	1	1	2	1	0	0	0
swi&thorn;mod	0	0	2	0	1	0	1	1	1	0	0
wisa	1	0	0	1	0	0	0	0	3	0	1
byrig	0	2	1	2	0	0	0	0	0	1	0
ongan	0	1	0	1	0	0	0	1	2	1	0
swefen	0	0	2	1	0	0	0	2	1	0	0
domas	1	1	0	0	1	0	0	0	0	1	1
&thorn;on	2	1	0	0	2	0	0	0	0	0	0
sealde	0	0	1	1	0	0	1	0	1	1	0
hea	2	0	0	0	0	0	1	0	0	1	1
micel	0	0	0	1	1	0	0	0	2	0	1
dyde	0	1	0	2	1	0	0	1	0	0	0
wer	2	0	0	0	1	2	0	0	0	0	0
hi	5	0	0	0	0	0	0	0	0	0	0
guman	0	1	0	2	1	0	1	0	0	0	0
hit	1	0	1	0	0	1	1	1	0	0	0
heortan	0	0	0	0	0	0	1	1	2	1	0
ni&thorn;	1	0	0	0	0	0	0	1	0	2	1
drihtnes	0	1	0	0	0	0	1	1	0	0	2
mod	0	1	1	0	0	0	0	1	1	1	0
eall	1	0	1	0	1	2	0	0	0	0	0
wera	0	2	0	0	0	0	0	0	0	3	0
ecne	2	0	0	1	0	1	1	0	0	0	0
n&aelig;s	0	0	2	0	1	0	1	1	0	0	0
bude	0	0	1	0	0	0	0	1	2	0	1
leodum	1	1	0	0	0	0	1	0	0	1	1
&thorn;eoda	3	0	0	0	0	1	0	0	0	0	1
hine	0	0	1	0	1	1	0	1	1	0	0
a	2	0	0	1	0	1	0	0	1	0	0
leoman	3	0	0	0	0	1	1	0	0	0	0
deor	1	0	0	0	0	1	1	1	1	0	0
bletsien	5	0	0	0	0	0	0	0	0	0	0
o&thorn;&thorn;e	0	0	3	1	0	1	0	0	0	0	0
azarias	2	0	1	0	1	1	0	0	0	0	0
gewat	1	0	0	0	1	0	1	0	0	2	0
