Key 	A03.003_Az_T00130.txt_000001_to_1064.txt 	A01.003_Dan_T00030.txt_000001_to_450.txt 	A01.003_Dan_T00030.txt_000451_to_900.txt 	A01.003_Dan_T00030.txt_000901_to_1350.txt 	A01.003_Dan_T00030.txt_001351_to_1800.txt 	A01.003_Dan_T00030.txt_001801_to_2250.txt 	A01.003_Dan_T00030.txt_002251_to_2700.txt 	A01.003_Dan_T00030.txt_002701_to_3150.txt 	A01.003_Dan_T00030.txt_003151_to_3600.txt 	A01.003_Dan_T00030.txt_003601_to_4050.txt 	A01.003_Dan_T00030.txt_004051_to_4472.txt 
sennera	0	0	0	0	0	0	0	0	1	0	1
yldran	1	0	0	0	1	0	0	0	0	0	0
hyge	0	0	0	0	0	0	0	1	1	0	0
haligne	2	0	0	0	0	0	0	0	0	0	0
cwome	0	0	0	0	0	0	0	1	0	0	1
cw&aelig;don	1	0	0	0	0	1	0	0	0	0	0
&aelig;&thorn;elum	0	0	0	1	0	0	0	0	0	0	1
beran	0	0	0	0	0	0	0	0	0	0	2
geaf	0	2	0	0	0	0	0	0	0	0	0
willa&thorn;	1	0	0	1	0	0	0	0	0	0	0
heofonas	1	0	0	0	0	1	0	0	0	0	0
cenned	1	0	0	0	0	1	0	0	0	0	0
d&aelig;lan	0	2	0	0	0	0	0	0	0	0	0
bocstafas	0	0	0	0	0	0	0	0	0	0	2
gemet	0	0	0	0	1	0	0	1	0	0	0
hlyst	1	0	0	1	0	0	0	0	0	0	0
ofen	0	0	0	0	1	1	0	0	0	0	0
teodest	0	0	0	1	0	1	0	0	0	0	0
scylde	0	0	0	0	1	0	0	1	0	0	0
h&aelig;ftas	0	0	0	1	1	0	0	0	0	0	0
forgeaf	0	0	0	0	0	0	0	1	0	0	1
ongeat	0	0	1	0	0	0	0	0	1	0	0
folctoga	0	0	0	0	0	0	0	0	0	1	1
bote	0	0	0	1	0	0	0	0	1	0	0
for&thorn;	1	1	0	0	0	0	0	0	0	0	0
d&aelig;dhwatan	1	0	0	0	0	1	0	0	0	0	0
leohtes	2	0	0	0	0	0	0	0	0	0	0
sended	1	0	0	0	0	1	0	0	0	0	0
f&aelig;st	0	0	0	0	0	1	0	1	0	0	0
cnihtum	0	0	0	0	0	0	0	2	0	0	0
don	0	1	0	0	0	0	0	1	0	0	0
baldazar	0	0	0	0	0	0	0	0	0	1	1
dryhtnes	2	0	0	0	0	0	0	0	0	0	0
ni&thorn;as	1	0	0	0	1	0	0	0	0	0	0
bebead	0	0	1	0	0	0	0	1	0	0	0
bl&aelig;dum	0	0	0	0	0	0	0	2	0	0	0
hwearf	1	0	0	0	1	0	0	0	0	0	0
fuglas	1	0	0	0	0	0	0	1	0	0	0
r&aelig;d	0	0	0	1	0	0	0	0	1	0	0
cu&thorn;	0	0	0	1	0	0	0	1	0	0	0
naman	0	0	0	0	0	0	2	0	0	0	0
cyninges	0	0	0	0	0	0	2	0	0	0	0
bere	0	0	0	0	0	0	0	0	0	0	2
wa&thorn;e	0	0	0	0	0	0	0	0	0	2	0
ealles	0	0	0	0	1	0	1	0	0	0	0
s&aelig;ton	0	0	0	1	0	0	0	0	0	0	1
halegu	0	0	0	0	0	0	0	0	0	0	2
&aelig;cr&aelig;ftig	0	0	0	0	0	0	0	0	1	0	1
dropena	1	0	0	0	0	1	0	0	0	0	0
beornas	0	0	0	1	0	0	1	0	0	0	0
crist	2	0	0	0	0	0	0	0	0	0	0
wordcwyde	0	0	0	0	0	1	0	0	0	1	0
&thorn;eodnes	0	0	0	2	0	0	0	0	0	0	0
geoca	1	0	0	0	1	0	0	0	0	0	0
l&aelig;test	2	0	0	0	0	0	0	0	0	0	0
feondas	1	0	0	0	0	1	0	0	0	0	0
monna	2	0	0	0	0	0	0	0	0	0	0
lyft	2	0	0	0	0	0	0	0	0	0	0
gesceafta	1	0	0	0	0	0	0	0	0	0	1
forleton	0	2	0	0	0	0	0	0	0	0	0
hergende	1	0	0	0	0	1	0	0	0	0	0
s&aelig;gdon	0	0	1	1	0	0	0	0	0	0	0
sigora	1	0	0	0	0	1	0	0	0	0	0
mihton	0	0	0	0	0	0	0	0	0	0	2
agan	0	1	0	0	0	0	0	0	0	1	0
ceastre	0	1	0	0	0	0	0	0	0	0	1
si&thorn;	0	1	0	0	0	0	0	0	0	1	0
ahton	0	0	0	0	0	0	1	0	0	1	0
b&aelig;don	1	0	0	0	0	1	0	0	0	0	0
stille	0	0	0	0	0	0	0	0	2	0	0
bidda&thorn;	1	0	0	0	1	0	0	0	0	0	0
gewear&thorn;	0	0	1	0	0	0	0	1	0	0	0
habba&thorn;	1	0	0	0	0	1	0	0	0	0	0
write	0	0	0	0	0	0	0	0	0	0	2
swilc	0	2	0	0	0	0	0	0	0	0	0
babilonia	0	1	0	1	0	0	0	0	0	0	0
ges&aelig;de	0	0	0	1	0	0	0	1	0	0	0
bilwit	2	0	0	0	0	0	0	0	0	0	0
todw&aelig;sced	1	0	0	0	0	1	0	0	0	0	0
ni&thorn;hete	0	1	0	0	1	0	0	0	0	0	0
beacne	0	0	0	1	0	0	0	0	0	0	1
herga&thorn;	1	0	0	0	0	1	0	0	0	0	0
wintra	1	0	0	0	0	1	0	0	0	0	0
gescop	2	0	0	0	0	0	0	0	0	0	0
ufan	0	0	0	0	0	1	0	1	0	0	0
gaste	0	0	0	0	0	0	0	1	0	0	1
gedemed	0	0	0	0	1	0	0	0	0	1	0
gang	0	1	0	0	0	0	0	0	0	1	0
&thorn;yder	0	0	0	1	0	0	0	1	0	0	0
wynsum	1	0	0	0	0	1	0	0	0	0	0
geboden	0	0	0	1	0	0	1	0	0	0	0
lisse	1	0	0	0	0	1	0	0	0	0	0
unrime	2	0	0	0	0	0	0	0	0	0	0
worn	0	1	0	0	0	1	0	0	0	0	0
feore	0	1	1	0	0	0	0	0	0	0	0
comon	0	0	1	0	0	0	0	0	0	0	1
h&aelig;&thorn;enra	1	0	0	0	0	1	0	0	0	0	0
gife	0	0	1	1	0	0	0	0	0	0	0
unbli&thorn;e	0	0	2	0	0	0	0	0	0	0	0
deaw	0	0	0	0	1	1	0	0	0	0	0
modsefan	1	0	0	0	0	0	0	1	0	0	0
geswi&thorn;de	1	0	0	0	1	0	0	0	0	0	0
felameahtigne	2	0	0	0	0	0	0	0	0	0	0
gehete	1	0	0	0	0	1	0	0	0	0	0
reccan	0	0	1	0	0	0	0	0	1	0	0
geworhte	0	0	0	0	0	0	0	0	1	1	0
hrof	0	0	0	0	0	0	2	0	0	0	0
lange	0	0	0	0	0	0	0	0	1	1	0
meahtum	2	0	0	0	0	0	0	0	0	0	0
wurdon	1	0	0	0	1	0	0	0	0	0	0
mare	1	0	0	0	1	0	0	0	0	0	0
abrecan	0	0	0	0	0	0	0	0	0	1	1
gesigef&aelig;ste	1	0	0	0	1	0	0	0	0	0	0
&aelig;led	1	0	0	0	1	0	0	0	0	0	0
wildeora	0	0	0	0	0	0	0	0	1	1	0
sunne	1	0	0	0	1	0	0	0	0	0	0
areccan	0	0	1	0	0	0	0	0	1	0	0
oferhygdum	1	0	0	0	1	0	0	0	0	0	0
wunian	0	0	0	0	0	0	0	1	1	0	0
heofonbeorht	1	0	0	0	0	1	0	0	0	0	0
andan	0	0	0	0	0	1	0	0	0	0	1
huslfatu	0	0	0	0	0	0	0	0	0	0	2
stefn	0	0	0	0	0	0	0	0	2	0	0
onfon	0	0	0	1	0	0	0	0	1	0	0
treow	0	0	0	0	0	0	0	1	1	0	0
sumeres	1	0	0	0	0	1	0	0	0	0	0
gestod	2	0	0	0	0	0	0	0	0	0	0
scealcas	0	0	0	1	1	0	0	0	0	0	0
folctogan	0	0	1	0	0	0	0	1	0	0	0
unrim	0	1	0	0	0	1	0	0	0	0	0
wudubeam	0	0	0	0	0	0	0	2	0	0	0
dyrust	0	2	0	0	0	0	0	0	0	0	0
weorca	1	0	0	0	0	1	0	0	0	0	0
onsende	1	1	0	0	0	0	0	0	0	0	0
meotudes	2	0	0	0	0	0	0	0	0	0	0
widne	1	0	0	0	1	0	0	0	0	0	0
ofnes	1	0	0	0	0	0	0	1	0	0	0
curon	0	1	0	0	0	0	0	1	0	0	0
sta&thorn;ole	0	0	0	0	0	0	0	0	2	0	0
gecoren	0	0	1	0	0	0	0	0	0	0	1
gesceaft	0	0	1	0	0	1	0	0	0	0	0
astah	0	0	1	0	0	0	0	0	1	0	0
bli&thorn;e	0	0	1	0	1	0	0	0	0	0	0
spelbodan	0	0	0	1	0	0	0	1	0	0	0
ealne	0	0	0	0	0	0	0	1	1	0	0
wesan	0	0	0	0	0	0	0	1	1	0	0
rehte	1	0	0	0	0	1	0	0	0	0	0
werude	0	2	0	0	0	0	0	0	0	0	0
oferhogedon	1	0	0	0	1	0	0	0	0	0	0
wlenco	0	1	0	0	0	0	0	0	0	1	0
gif	1	0	1	0	0	0	0	0	0	0	0
hyld	0	0	0	0	0	0	1	1	0	0	0
mancynne	0	0	0	0	0	0	0	0	0	2	0
somod	0	0	0	0	0	2	0	0	0	0	0
ge&thorn;anc	0	0	0	0	0	0	0	1	1	0	0
lofige	0	0	0	0	0	2	0	0	0	0	0
sidne	0	0	0	0	0	0	0	0	2	0	0
h&aelig;ft	1	0	0	0	0	1	0	0	0	0	0
eodon	1	0	0	0	0	1	0	0	0	0	0
inne	1	0	0	0	1	0	0	0	0	0	0
werede	0	0	0	0	0	0	0	0	1	0	1
gemunde	0	0	1	0	0	0	0	0	0	1	0
sylfe	0	1	0	0	0	0	0	0	1	0	0
iacobe	1	0	0	0	0	1	0	0	0	0	0
h&aelig;&thorn;ena	0	0	1	0	1	0	0	0	0	0	0
sped	0	0	0	0	0	1	0	1	0	0	0
wunia&thorn;	1	0	0	0	0	1	0	0	0	0	0
healda&thorn;	1	0	0	0	0	1	0	0	0	0	0
h&aelig;&thorn;en	0	0	0	1	0	0	0	0	1	0	0
niht	1	0	0	0	0	1	0	0	0	0	0
gehyrdon	1	0	0	0	0	0	1	0	0	0	0
run	0	0	0	0	0	0	0	0	1	0	1
d&aelig;ge	0	0	0	0	1	0	0	0	0	0	1
bledum	1	0	0	0	0	0	0	1	0	0	0
gelicost	0	0	0	0	1	1	0	0	0	0	0
bremen	2	0	0	0	0	0	0	0	0	0	0
helpe	1	0	0	0	0	1	0	0	0	0	0
gescylde	0	0	0	0	0	0	0	2	0	0	0
&aelig;hte	0	1	0	0	0	0	0	0	0	0	1
gebindan	0	0	0	1	0	0	0	1	0	0	0
hyldo	1	0	0	0	1	0	0	0	0	0	0
haliges	0	0	1	0	0	0	0	0	0	0	1
woruldspedum	1	0	0	0	1	0	0	0	0	0	0
todrifen	1	0	0	0	0	1	0	0	0	0	0
&aelig;ht	0	0	0	0	0	0	1	0	0	0	1
eorla	0	0	0	0	0	0	0	0	0	2	0
d&aelig;ges	1	0	0	0	0	1	0	0	0	0	0
bibod	2	0	0	0	0	0	0	0	0	0	0
wihte	0	0	1	1	0	0	0	0	0	0	0
snotor	0	0	1	0	0	0	0	0	0	0	1
gewealde	0	0	0	0	0	1	0	0	0	1	0
witig	0	0	0	0	0	0	2	0	0	0	0
so&thorn;ra	0	0	0	0	0	0	1	0	1	0	0
hwearft	2	0	0	0	0	0	0	0	0	0	0
sumor	1	0	0	0	0	1	0	0	0	0	0
s&aelig;don	0	0	1	0	0	0	1	0	0	0	0
samod	0	0	0	0	0	0	0	0	0	2	0
weder	1	0	0	0	0	1	0	0	0	0	0
g&aelig;st	1	0	0	0	0	0	0	0	1	0	0
gecy&thorn;	1	0	0	0	0	1	0	0	0	0	0
spelboda	0	0	0	0	0	0	0	0	1	0	1
lacende	1	0	0	0	0	0	0	1	0	0	0
s&aelig;de	0	0	0	0	0	0	0	0	2	0	0
br&aelig;con	1	0	0	0	1	0	0	0	0	0	0
r&aelig;dan	0	1	0	0	0	0	0	0	0	1	0
ahicgan	0	0	2	0	0	0	0	0	0	0	0
so&thorn;an	1	0	1	0	0	0	0	0	0	0	0
wlitescyne	1	0	0	0	0	1	0	0	0	0	0
wurde	1	0	0	0	0	1	0	0	0	0	0
bera&thorn;	0	0	1	0	0	0	0	1	0	0	0
cu&thorn;on	0	0	1	0	1	0	0	0	0	0	0
hleo&thorn;orcwyde	0	0	1	0	0	1	0	0	0	0	0
si&thorn;estan	0	1	0	0	0	0	0	0	0	0	1
tosweop	1	0	0	0	0	1	0	0	0	0	0
mona	1	0	0	0	0	1	0	0	0	0	0
hweorfan	0	1	0	1	0	0	0	0	0	0	0
frumspr&aelig;ce	1	0	0	0	0	1	0	0	0	0	0
fr&aelig;gn	0	0	1	0	0	0	0	1	0	0	0
towrecene	1	0	0	0	1	0	0	0	0	0	0
cuman	0	0	0	0	0	0	0	0	1	0	1
d&aelig;da	1	0	0	0	1	0	0	0	0	0	0
acw&aelig;&thorn;	1	0	0	0	1	0	0	0	0	0	0
ea&thorn;medum	1	0	0	0	1	0	0	0	0	0	0
gefr&aelig;ge	1	0	0	0	1	0	0	0	0	0	0
manna	1	0	0	0	0	0	1	0	0	0	0
eard	0	0	0	0	0	0	0	0	0	2	0
fyl	1	0	0	0	0	1	0	0	0	0	0
swylc	0	0	0	0	0	2	0	0	0	0	0
weor&thorn;ian	2	0	0	0	0	0	0	0	0	0	0
gelyfdon	0	2	0	0	0	0	0	0	0	0	0
scod	2	0	0	0	0	0	0	0	0	0	0
twigum	0	0	0	0	0	0	0	2	0	0	0
dydon	1	0	0	0	1	0	0	0	0	0	0
horsce	1	0	0	0	0	1	0	0	0	0	0
hata	1	0	0	0	0	1	0	0	0	0	0
g&aelig;sta	2	0	0	0	0	0	0	0	0	0	0
gem&aelig;ne	1	0	0	0	0	1	0	0	0	0	0
wyrtruman	0	0	0	0	0	0	0	1	1	0	0
monig	1	0	0	0	0	0	0	1	0	0	0
onsended	1	0	0	0	0	1	0	0	0	0	0
unriht	0	1	0	1	0	0	0	0	0	0	0
ful	2	0	0	0	0	0	0	0	0	0	0
werod	0	2	0	0	0	0	0	0	0	0	0
modig	0	1	1	0	0	0	0	0	0	0	0
woruldsceafta	2	0	0	0	0	0	0	0	0	0	0
woma	0	0	2	0	0	0	0	0	0	0	0
gingum	0	0	0	1	0	0	1	0	0	0	0
stefne	0	0	0	1	0	0	0	1	0	0	0
wisse	0	0	1	0	0	0	0	0	1	0	0
g&aelig;stlufan	2	0	0	0	0	0	0	0	0	0	0
tosceaf	1	0	0	0	0	1	0	0	0	0	0
abead	1	0	0	0	0	0	0	1	0	0	0
&thorn;eaw	0	0	0	0	0	0	0	0	1	1	0
b&aelig;le	1	0	0	0	0	0	1	0	0	0	0
domige	0	0	0	0	0	1	1	0	0	0	0
westen	0	0	0	0	0	0	0	0	1	1	0
wom	1	0	0	0	1	0	0	0	0	0	0
cyningdom	0	1	0	0	0	0	0	0	0	1	0
geteode	0	0	0	1	1	0	0	0	0	0	0
tid	1	0	0	0	0	1	0	0	0	0	0
dreag	1	0	0	0	1	0	0	0	0	0	0
scyldig	0	0	0	0	0	0	1	0	1	0	0
gecw&aelig;don	0	0	1	1	0	0	0	0	0	0	0
eor&thorn;welan	2	0	0	0	0	0	0	0	0	0	0
hatne	1	0	0	0	1	0	0	0	0	0	0
be	0	0	1	0	0	0	1	0	0	0	0
m&aelig;nige	0	0	0	0	2	0	0	0	0	0	0
cynegode	0	0	0	1	0	0	1	0	0	0	0
anne	0	0	0	1	0	0	1	0	0	0	0
&thorn;an	1	0	0	1	0	0	0	0	0	0	0
getenge	0	0	0	0	0	0	0	0	0	1	0
lege	1	0	0	0	0	0	0	0	0	0	0
f&aelig;c	0	0	0	0	0	0	0	0	0	1	0
onhnigon	0	0	0	1	0	0	0	0	0	0	0
gefrecnod	0	0	0	1	0	0	0	0	0	0	0
onh&aelig;tan	0	0	0	1	0	0	0	0	0	0	0
b&aelig;d	0	0	0	0	0	0	0	0	1	0	0
bebodo	0	0	0	0	1	0	0	0	0	0	0
meld	0	0	0	0	0	0	0	0	0	1	0
dyglan	0	0	0	0	0	0	0	1	0	0	0
druncne	0	1	0	0	0	0	0	0	0	0	0
sawla	0	0	0	0	0	0	1	0	0	0	0
sungon	0	0	0	1	0	0	0	0	0	0	0
morgenren	1	0	0	0	0	0	0	0	0	0	0
isernum	0	0	0	0	0	0	0	1	0	0	0
heold	0	0	0	0	0	0	0	0	0	1	0
wihgyld	0	0	0	1	0	0	0	0	0	0	0
burgsittende	1	0	0	0	0	0	0	0	0	0	0
eacne	0	0	1	0	0	0	0	0	0	0	0
bereafodon	0	1	0	0	0	0	0	0	0	0	0
gesawon	0	0	0	0	0	0	0	1	0	0	0
eal	1	0	0	0	0	0	0	0	0	0	0
besn&aelig;ded	0	0	0	0	0	0	0	0	1	0	0
ge&thorn;eahte	0	0	0	1	0	0	0	0	0	0	0
modge&thorn;ances	0	0	1	0	0	0	0	0	0	0	0
acol	0	0	1	0	0	0	0	0	0	0	0
waro&thorn;a	1	0	0	0	0	0	0	0	0	0	0
stigan	0	0	0	0	0	0	0	1	0	0	0
herepa&thorn;	0	1	0	0	0	0	0	0	0	0	0
wall	0	0	0	0	1	0	0	0	0	0	0
wearme	1	0	0	0	0	0	0	0	0	0	0
domf&aelig;st	1	0	0	0	0	0	0	0	0	0	0
ar&aelig;dde	0	0	0	0	0	0	0	0	0	0	1
&aelig;lmihtigne	0	0	0	1	0	0	0	0	0	0	0
beorna	0	1	0	0	0	0	0	0	0	0	0
&aelig;sprynge	1	0	0	0	0	0	0	0	0	0	0
yced	1	0	0	0	0	0	0	0	0	0	0
geswencton	1	0	0	0	0	0	0	0	0	0	0
beorhte	0	0	0	0	0	0	0	0	0	0	1
tenebre	1	0	0	0	0	0	0	0	0	0	0
fremde	0	0	0	1	0	0	0	0	0	0	0
can	0	0	0	0	0	0	0	0	0	0	1
awehte	0	1	0	0	0	0	0	0	0	0	0
land	0	1	0	0	0	0	0	0	0	0	0
ge&thorn;oncum	1	0	0	0	0	0	0	0	0	0	0
heofonheane	0	0	0	0	0	0	0	0	1	0	0
wederdagas	1	0	0	0	0	0	0	0	0	0	0
fore&thorn;oncas	1	0	0	0	0	0	0	0	0	0	0
iii	1	0	0	0	0	0	0	0	0	0	0
ananias	1	0	0	0	0	0	0	0	0	0	0
anmedlan	0	0	0	0	0	0	0	0	0	0	1
wiccungdom	0	0	1	0	0	0	0	0	0	0	0
tohworfne	1	0	0	0	0	0	0	0	0	0	0
haligu	0	0	0	0	0	0	0	0	1	0	0
na	0	0	0	0	0	0	0	0	0	0	1
gespr&aelig;c	0	0	0	0	0	0	0	0	1	0	0
tacna	0	0	0	0	0	0	1	0	0	0	0
eowed	0	0	0	0	0	0	0	0	1	0	0
wela	0	1	0	0	0	0	0	0	0	0	0
cnihta	0	0	0	1	0	0	0	0	0	0	0
scima	0	0	0	0	1	0	0	0	0	0	0
wearmlic	0	0	0	0	0	1	0	0	0	0	0
&aelig;&thorn;eling	0	0	0	0	0	0	0	1	0	0	0
m&aelig;rost	0	0	0	0	0	0	0	0	0	0	1
ealdre	1	0	0	0	0	0	0	0	0	0	0
alhstede	0	0	0	0	0	0	0	0	0	1	0
g&aelig;stas	1	0	0	0	0	0	0	0	0	0	0
gelimpan	0	0	1	0	0	0	0	0	0	0	0
rodorbeorhtan	0	0	0	0	0	1	0	0	0	0	0
sylle	0	0	0	0	0	0	0	1	0	0	0
manbealwes	0	1	0	0	0	0	0	0	0	0	0
gyldan	0	0	0	1	0	0	0	0	0	0	0
geocrostne	0	0	0	0	0	0	0	0	0	1	0
folcgesi&thorn;um	0	0	0	0	0	0	1	0	0	0	0
drincan	0	0	0	0	0	0	0	0	0	0	1
nydgenga	0	0	0	0	0	0	0	0	0	1	0
bi	1	0	0	0	0	0	0	0	0	0	0
liexende	1	0	0	0	0	0	0	0	0	0	0
wilddeora	0	0	0	0	0	0	0	0	0	1	0
br&aelig;sna	0	0	0	0	0	0	1	0	0	0	0
gese&thorn;ed	0	0	0	0	0	0	0	0	0	1	0
templ	0	1	0	0	0	0	0	0	0	0	0
deoflum	0	0	0	0	0	0	0	0	0	0	1
nyd	0	1	0	0	0	0	0	0	0	0	0
gelyfan	0	0	0	1	0	0	0	0	0	0	0
hyrran	0	0	0	0	0	0	0	0	0	0	1
wilddeor	0	0	0	0	0	0	0	1	0	0	0
brimflodas	1	0	0	0	0	0	0	0	0	0	0
foldbuendum	1	0	0	0	0	0	0	0	0	0	0
sundorgife	0	0	0	0	0	0	0	0	1	0	0
geteod	0	0	1	0	0	0	0	0	0	0	0
gerefan	0	1	0	0	0	0	0	0	0	0	0
meted	0	0	1	0	0	0	0	0	0	0	0
&thorn;reanydum	1	0	0	0	0	0	0	0	0	0	0
gearo	0	0	0	1	0	0	0	0	0	0	0
aldorlege	0	0	1	0	0	0	0	0	0	0	0
hluttra&thorn;	1	0	0	0	0	0	0	0	0	0	0
woruldrice	0	0	0	0	0	0	0	0	1	0	0
onegdon	0	0	0	0	0	0	0	0	0	0	1
fyrenum	0	0	0	1	0	0	0	0	0	0	0
woruldhyhte	1	0	0	0	0	0	0	0	0	0	0
ceastergeweorc	0	0	0	0	0	0	0	0	1	0	0
rihtne	0	0	0	0	0	1	0	0	0	0	0
syndon	0	0	0	0	1	0	0	0	0	0	0
lease	1	0	0	0	0	0	0	0	0	0	0
bewrigene	0	1	0	0	0	0	0	0	0	0	0
clife	1	0	0	0	0	0	0	0	0	0	0
hre&thorn;	0	0	0	0	0	0	0	0	0	1	0
hw&aelig;tmode	1	0	0	0	0	0	0	0	0	0	0
wundre	0	0	0	0	0	0	1	0	0	0	0
&thorn;rymmes	0	0	0	0	0	0	1	0	0	0	0
worde	0	0	0	0	0	0	0	0	1	0	0
gefrigen	0	0	0	0	0	1	0	0	0	0	0
wlitigne	1	0	0	0	0	0	0	0	0	0	0
gewur&thorn;od	0	0	0	0	0	0	1	0	0	0	0
tohworfene	0	0	0	0	1	0	0	0	0	0	0
helpend	0	0	0	0	0	0	1	0	0	0	0
abrahames	0	0	0	1	0	0	0	0	0	0	0
reordberend	0	0	1	0	0	0	0	0	0	0	0
leanige	1	0	0	0	0	0	0	0	0	0	0
wundorlic	0	0	0	0	0	0	0	0	0	1	0
wudubeames	0	0	0	0	0	0	0	1	0	0	0
ealdor	0	0	0	0	0	0	1	0	0	0	0
good	1	0	0	0	0	0	0	0	0	0	0
nerganne	1	0	0	0	0	0	0	0	0	0	0
daga	0	0	0	0	1	0	0	0	0	0	0
gesi&thorn;	0	0	0	0	0	0	0	0	0	1	0
bli&thorn;emode	0	0	0	0	1	0	0	0	0	0	0
fugolas	0	0	0	0	0	0	0	1	0	0	0
worce	0	0	0	0	1	0	0	0	0	0	0
gem&aelig;ted	0	0	1	0	0	0	0	0	0	0	0
gefrunon	0	0	0	0	1	0	0	0	0	0	0
gem&aelig;tte	0	0	1	0	0	0	0	0	0	0	0
gyddedon	0	0	0	0	0	0	0	0	0	0	1
gengum	0	0	1	0	0	0	0	0	0	0	0
hrusan	0	0	0	0	0	0	1	0	0	0	0
heorugrimra	0	0	0	0	0	1	0	0	0	0	0
gesloh	0	0	0	0	1	0	0	0	0	0	0
hogedon	0	0	0	1	0	0	0	0	0	0	0
blacan	0	0	0	0	1	0	0	0	0	0	0
sand	0	0	0	0	0	1	0	0	0	0	0
hleo&thorn;or	0	0	0	1	0	0	0	0	0	0	0
cy&thorn;an	0	0	1	0	0	0	0	0	0	0	0
persum	0	0	0	0	0	0	0	0	0	1	0
&aelig;tywed	0	0	0	0	0	0	0	1	0	0	0
h&aelig;to	0	0	0	0	1	0	0	0	0	0	0
d&aelig;de	0	0	1	0	0	0	0	0	0	0	0
allwihta	1	0	0	0	0	0	0	0	0	0	0
sloh	0	0	0	0	0	1	0	0	0	0	0
cynig	0	0	0	0	1	0	0	0	0	0	0
&thorn;reaum	0	0	0	0	1	0	0	0	0	0	0
si&thorn;edon	0	1	0	0	0	0	0	0	0	0	0
teonfullum	0	0	0	0	1	0	0	0	0	0	0
m&aelig;tinge	0	0	1	0	0	0	0	0	0	0	0
nor&thorn;an	0	1	0	0	0	0	0	0	0	0	0
bebuga&thorn;	0	0	0	0	0	1	0	0	0	0	0
s&aelig;s	1	0	0	0	0	0	0	0	0	0	0
onhweorfe&thorn;	0	0	0	0	0	0	0	0	1	0	0
rodore	0	0	0	0	1	0	0	0	0	0	0
stodon	0	1	0	0	0	0	0	0	0	0	0
ligges	0	0	0	0	0	1	0	0	0	0	0
gyldnan	0	0	0	1	0	0	0	0	0	0	0
earme	0	1	0	0	0	0	0	0	0	0	0
m&aelig;st	0	0	0	0	0	0	0	0	0	0	1
freme	1	0	0	0	0	0	0	0	0	0	0
wr&aelig;cca	0	0	0	0	0	0	0	0	0	1	0
septon	0	0	0	0	0	0	1	0	0	0	0
swi&thorn;rode	0	0	0	0	0	0	0	0	0	1	0
bende	0	0	0	0	0	0	1	0	0	0	0
sigef&aelig;stan	1	0	0	0	0	0	0	0	0	0	0
treddedon	0	0	0	0	0	0	1	0	0	0	0
willa	0	0	0	0	0	0	0	0	1	0	0
wundra	0	0	0	0	0	0	1	0	0	0	0
hreo	1	0	0	0	0	0	0	0	0	0	0
hyrra	0	0	0	0	0	0	0	1	0	0	0
syle&thorn;	1	0	0	0	0	0	0	0	0	0	0
come	0	0	0	0	0	0	0	1	0	0	0
be&thorn;eahte	0	0	0	0	1	0	0	0	0	0	0
israelum	0	1	0	0	0	0	0	0	0	0	0
ican	0	0	0	0	0	1	0	0	0	0	0
bibodu	1	0	0	0	0	0	0	0	0	0	0
gesigef&aelig;ston	1	0	0	0	0	0	0	0	0	0	0
woruldlife	0	0	1	0	0	0	0	0	0	0	0
earce	0	0	0	0	0	0	0	0	0	0	1
&thorn;ristum	0	0	0	0	0	0	1	0	0	0	0
ealra	0	0	0	0	0	0	0	0	0	0	1
ge&thorn;inges	0	0	0	0	0	0	0	1	0	0	0
gongan	1	0	0	0	0	0	0	0	0	0	0
lofia&thorn;	0	0	0	0	0	0	1	0	0	0	0
&thorn;ider	0	0	0	1	0	0	0	0	0	0	0
elne	1	0	0	0	0	0	0	0	0	0	0
astige&thorn;	0	0	0	0	0	0	0	1	0	0	0
o&thorn;&thorn;ringan	0	1	0	0	0	0	0	0	0	0	0
beteran	0	0	0	0	0	0	0	0	0	1	0
locode	0	0	0	0	0	0	0	0	0	1	0
geegled	0	0	0	0	0	1	0	0	0	0	0
sw&aelig;f	0	0	1	0	0	0	0	0	0	0	0
hwilc	0	1	0	0	0	0	0	0	0	0	0
hw&aelig;&thorn;re	0	0	0	0	0	0	0	0	1	0	0
cumble	0	0	0	1	0	0	0	0	0	0	0
toferan	0	1	0	0	0	0	0	0	0	0	0
ahwearf	0	0	0	0	0	0	0	0	0	1	0
hearan	0	0	0	1	0	0	0	0	0	0	0
deman	0	1	0	0	0	0	0	0	0	0	0
seldlicra	1	0	0	0	0	0	0	0	0	0	0
folde	1	0	0	0	0	0	0	0	0	0	0
ofestum	0	0	0	0	1	0	0	0	0	0	0
wyrce&thorn;	1	0	0	0	0	0	0	0	0	0	0
hus	1	0	0	0	0	0	0	0	0	0	0
&aelig;rendbec	0	0	0	0	0	0	0	0	0	0	1
hyllas	0	0	0	0	0	1	0	0	0	0	0
balde	0	0	0	1	0	0	0	0	0	0	0
mandreame	0	0	0	0	0	0	0	0	1	0	0
baswe	0	0	0	0	0	0	0	0	0	0	1
unceapunga	0	0	0	0	0	0	0	0	0	0	1
aferan	0	0	0	0	0	0	0	0	0	1	0
gylde	0	0	0	1	0	0	0	0	0	0	0
feower	0	0	0	0	0	0	1	0	0	0	0
gehwone	0	1	0	0	0	0	0	0	0	0	0
f&aelig;stan	0	0	0	0	0	0	0	0	1	0	0
lifgean	0	1	0	0	0	0	0	0	0	0	0
breahtumhwate	1	0	0	0	0	0	0	0	0	0	0
